FID,Name,Address,City,Zipcode,geom
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_64ad,LITTLE STARS LEARNING CENTER,410-992-3999,COLUMBIA,21044,POINT (1345376.566788581 568089.4142251281)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_64b0,OUR LADY OF PERPETUAL HELP,410-744-4251,ELLICOTT CITY,21043,POINT (1377905.5898533938 572494.3007381422)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_64b2,CHILDRENS TIME PRESCHOOL,410-964-1534,COLUMBIA,21046,POINT (1352068.6227985858 550765.1661925805)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_64b4,ED-U-CARE LEARNING CENTER,410-997-2633,COLUMBIA,21044,POINT (1341097.818478152 560390.8865708302)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_64b6,ATHOLTON ELEM PREK,410-313-6853,COLUMBIA,21046,POINT (1351105.4654326744 553286.4669240679)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_64b7,KNOWLEDGE BEGINNINGS,301-725-6500,LAUREL,20723,POINT (1342701.324770412 544556.5911818116)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_64b8,ANGELS AFTER CARE OLPH,410-744-1133,ELLICOTT CITY,21043,POINT (1377905.5898533938 572494.3007381422)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_64b9,TRIADELPHIA RIDGE ELEM EXTD REC PROGRAM,410-313-5470,ELLICOTT CITY,21042,POINT (1318097.6439933155 582589.4542415581)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_64ba,GLOBAL CHILDREN MONTESSORI SCHOOL,410-241-5771,ELLICOTT CITY,21043,POINT (1368654.7721143821 572933.5894668669)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_64bb,NORTHFIELD ELEMENTARY SAS,410-461-4349,ELLICOTT CITY,21042,POINT (1360389.646872602 578798.5768910118)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_64bc,COLUMBIA ACADEMY PRSCHL 3,410-312-9790,COLUMBIA,21046,POINT (1348056.1987673969 550752.2889746831)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_64be,DASHER GREEN HEADSTART,410-313-6210,COLUMBIA,21045,POINT (1356718.4691156922 555329.2619450525)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_64bf,CHILDS GARDEN LEARNING CENTER,410-884-5477,COLUMBIA,21046,POINT (1350190.8902979214 552900.7357152344)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_64c1,SWANSFIELD ELEM PREK,410-313-6907,COLUMBIA,21044,POINT (1343862.323029473 564527.6928203455)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_64c4,WORTHINGTON ELEM BASC,410-461-5916,ELLICOTT CITY,21043,POINT (1370297.2027243772 574824.1991854286)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_64c5,LONGFELLOW ELEM PREK,410-313-6879,COLUMBIA,21044,POINT (1345890.1921842583 568118.095301354)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_64c6,WILDE LAKE CHILDRENS NURSERY,410-997-4856,COLUMBIA,21044,POINT (1347768.8026770519 566744.9156110302)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_64c8,OUR LADY OF PERPETUAL HELP PRESCHOOL,410-744-4251,ELLICOTT CITY,21043,POINT (1377905.5898533938 572494.3007381422)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_64c9,JULIA BROWN MONTESSORI,301-498-0604,LAUREL,20723,POINT (1357714.9901825192 525573.230688811)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_64ca,ELLICOTT CITY HEAD START,410-313-2750,ELLICOTT CITY,21043,POINT (1367129.4071216355 592021.1383592185)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_64cb,S.T.A.R.S. LEARNING CENTER,301-498-5285,LAUREL,20723,POINT (1357530.904499396 530273.1225572912)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_64cd,OAKLAND MILLS NURSERY SCHOOL,410-997-4024,COLUMBIA,21045,POINT (1360167.8075279163 569050.2302786943)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_64ce,TRINITY PRESCHOOL & EXTENDED DAY,410-455-9825,ELLICOTT CITY,21043,POINT (1379029.4197789785 568840.3901597766)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_64cf,POINTERS RUN ELEM PREK,410-313-7142,CLARKSVILLE,21029,POINT (1333199.4012824022 555111.5198969705)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_64d0,LA PETITE CHILD CARE CENTER,410-381-4576,COLUMBIA,21046,POINT (1348692.4503971417 546299.112894554)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_64d1,FIRM FOUNDATION PRESCHOOL,410-505-1006,ELLICOTT CITY,21043,POINT (1368298.8926379469 567971.7632797934)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_64d2,JULIA BROWN MONTESSORI,410-730-5056,COLUMBIA,21045,POINT (1354892.5381506602 559426.2658847034)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_64d3,APPLE TREE CHILDCARE,410-799-9445,COLUMBIA,21045,POINT (1368749.5952643533 559617.9608329476)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_64d4,CHILDRENS MANOR MONTESSORI SCHL & DC,410-461-6070,ELLICOTT CITY,21043,POINT (1366316.0937458023 576324.6877345099)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_64d6,CHILDREN OF AMERICA ELLICOTT CITY,443-459-3606,ELLICOTT CITY,21043,POINT (1371738.8658007912 577408.1300221438)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_64d7,STEVENS FOREST NURSERY SCHOOL,410-997-0808,COLUMBIA,21045,POINT (1356350.297749446 559701.3700852371)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_64d9,ILCHESTER EXTENDED RECREATION PROGRAM,410-313-2696,ELLICOTT CITY,21043,POINT (1376378.1762123452 569838.9598749054)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_64da,LAUREL WOODS EXTD REC PROGRAM,410-880-5860,LAUREL,20723,POINT (1357149.8559152526 528468.5560674071)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_64db,TRIADELPHIA RIDGE EARLY LEARNING CENTER,410-313-5471,ELLICOTT CITY,21042,POINT (1318097.6439933155 582589.4542415581)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_64dc,GLENELG COUNTRY SCHOOL EXT'D DAY PROG,410-531-7329,ELLICOTT CITY,21042,POINT (1323151.074025886 577279.6505072138)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_64de,CHILDTIME CHILDRENS CENTER,410-309-4020,COLUMBIA,21045,POINT (1361802.6288727901 551985.5752523951)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_64e0,GOOD BEGINNINGS CHILD CARE CENTER,301-776-6670,LAUREL,20723,POINT (1348422.321485341 540719.7655764953)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_64e1,NURTURING NEST MONTESSORI,410-772-6378,COLUMBIA,21045,POINT (1356086.0221185077 561850.1094898315)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_64e2,YOUNG SCHOOL EARLY ED PROGRAM,410-381-6098,COLUMBIA,21046,POINT (1348693.9137173574 549525.1486418769)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_64e4,CAN-TEEN CLUB @ PATAPSCO MS,410-313-4633,ELLICOTT CITY,21043,POINT (1364085.1157450909 594172.8044042441)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_64e5,WATERLOO ELEM PREK,410-313-5014,COLUMBIA,21045,POINT (1369630.5140341476 561122.2540145896)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_64e6,LAUREL WOODS ELEM PREK,410-880-5960,LAUREL,20723,POINT (1357149.8559152526 528468.5560674071)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_64e7,ELLICOTT MILLS MS-STUDENT UNION PROGRAM,410-313-2735,ELLICOTT CITY,21043,POINT (1365970.4575108762 576711.2969354728)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_64e8,WATERLOO ELEM SAS,410-799-7088,COLUMBIA,21045,POINT (1369630.5140341476 561122.2540145896)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_64ea,ROGER CARTER ELC,410-313-2749,ELLICOTT CITY,21043,POINT (1367616.6927534319 584925.4986337499)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_64eb,ST LOUIS AFTER SCHOOL CARE,410-489-9354,CLARKSVILLE,21029,POINT (1328221.4785729572 560398.4958359513)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_64ec,GUILFORD ELEMENTARY SAS,301-490-1608,COLUMBIA,21046,POINT (1360600.364983649 547322.2663893051)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_64ed,FIRST LUTHERAN PRESCHOOL,410-465-5977,ELLICOTT CITY,21042,POINT (1359484.4369872287 584764.2407459902)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_64ee,THE YOUNG SCHL EARLY EDUCATION PROGRAM,410-740-7476,COLUMBIA,21045,POINT (1368169.2424668444 559740.8797310585)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_64ef,ST JOHNS PARISH DAY SCHOOL,410-465-7644,ELLICOTT CITY,21042,POINT (1360626.1194194437 585470.4390820411)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_64f0,VETERANS ELEM PREK,410-313-1700,ELLICOTT CITY,21043,POINT (1365306.1101329916 578188.3723611045)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_64f1,THE LEARNING COTTAGE,410-740-5538,COLUMBIA,21045,POINT (1355857.158836787 563591.7532104446)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_64f2,CENTENNIAL LANE ELEM SAS,410-461-4322,ELLICOTT CITY,21042,POINT (1351523.9750143376 582579.5036640919)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_64f4,WAVERLY ELEM PREK,410-313-2819,ELLICOTT CITY,21042,POINT (1349495.2278674226 596714.59161875)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_64f5,CHILDRENS MANOR MONTESSORI & DAY CARE,410-730-3100,COLUMBIA,21045,POINT (1363514.1281969617 568349.0072313765)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_64f7,CROSSROADS ADVENTIST SCHOOL,410-465-6867,ELLICOTT CITY,21042,POINT (1361849.7477837326 588055.540574929)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_64fa,PS EMPLOYEES CDP @ RIVER HILL,410-531-3408,CLARKSVILLE,21029,POINT (1332510.4701248955 563958.168592432)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_64fc,KIDS HABITAT II,410-774-0123,COLUMBIA,21045,POINT (1360271.703263224 568937.5546220927)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_64fe,ST JOHNS LANE EXTD REC PROGRAM,410-313-2692,ELLICOTT CITY,21042,POINT (1359416.2462651816 591462.1500368575)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_6500,FUN TO BE KIDS @ BETHANY UMC,410-960-5590,ELLICOTT CITY,21042,POINT (1353141.5291806674 592252.050289241)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_6501,BELLOWS SPRING EXT RECREATION PROGRAM,410-313-5147,ELLICOTT CITY,21043,POINT (1372825.2347288565 559999.5947451774)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_6502,KIDZ PLAYSTATION,443-324-0575,COLUMBIA,21044,POINT (1344303.9530705425 564871.5730710127)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_6503,CHRIST MEMORIAL CHRISTIAN PRESCHOOL,410-997-8011,COLUMBIA,21046,POINT (1350499.3581993708 556103.3583391076)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_6505,WORLD CHAMPION MARTIAL ARTS CENTER,301-725-2121,LAUREL,20723,POINT (1356059.3896905836 529943.2901806938)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_6506,BETHANY LANE BAPTIST DCC,410-461-3393,ELLICOTT CITY,21042,POINT (1352399.0405032693 590513.3332090591)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_6507,ST PETERS EPISCOPAL SCHOOL,410-461-7283,ELLICOTT CITY,21043,POINT (1366294.1439425682 583810.741293502)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_6508,ALL ABOUT CHILDREN LEARNING CENTER,443-938-3751,COLUMBIA,21045,POINT (1361291.930117544 560390.301242744)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_6509,PHELPS LUCK ELEM BASC,410-964-1399,COLUMBIA,21045,POINT (1363860.3497599738 566522.4909382582)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_650a,PHELPS LUCK ELEM PREK,410-313-6886,COLUMBIA,21045,POINT (1363860.3497599738 566522.4909382582)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_650c,LA PETITE CHILD CARE CENTER,410-750-0826,ELLICOTT CITY,21042,POINT (1351490.6113134217 586689.3848216401)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_650d,LORNWOOD DAY CARE & GIFTED CENTER,410-992-7026,COLUMBIA,21044,POINT (1350024.3644573856 566621.9967129194)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_650f,HEAD START OLD CEDAR LANE,410-313-7246,COLUMBIA,21044,POINT (1344519.3538062796 567713.9262578039)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_6510,BRYANT WOODS ELEM PREK,410-313-6859,COLUMBIA,21044,POINT (1349955.2957432088 566105.4446768109)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_6512,KIDS TIME OUT,410-531-3858,CLARKSVILLE,21029,POINT (1329584.1223577287 563188.754823067)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_6513,MKD KIDS LEARNING CENTER,443-918-2103,COLUMBIA,21044,POINT (1344249.5175585218 561914.7882433613)
Schools_Elementary.fid-fa4324a_15051f1a12c_-6a18,Hollifield Station,8701 STONEHOUSE DR,Ellicott City,21043,POINT (1364014.5837106986 595742.069003459)
Schools_Elementary.fid-fa4324a_15051f1a12c_-6a17,Northfield,9125 NORTHFIELD RD,Ellicott City,21042,POINT (1360341.0646414438 578805.6008280467)
Schools_Elementary.fid-fa4324a_15051f1a12c_-6a16,St. Johns Lane,2960 SAINT JOHNS LN,Ellicott City,21042,POINT (1359408.3443360173 591494.6357456439)
Schools_Elementary.fid-fa4324a_15051f1a12c_-6a14,Bryant Woods,5450 BLUE HERON LN,Columbia,21044,POINT (1349866.033210057 566099.8840599916)
Schools_Elementary.fid-fa4324a_15051f1a12c_-6a12,Worthington,4570 ROUNDHILL RD,Ellicott City,21043,POINT (1370265.302343677 574871.6107604142)
Schools_Elementary.fid-fa4324a_15051f1a12c_-6a11,Waterloo,5940 WATERLOO RD,Columbia,21045,POINT (1369580.4684827738 561177.2748546964)
Schools_Elementary.fid-fa4324a_15051f1a12c_-6a10,Bellows Spring,8125 OLD STOCKBRIDGE DR,Ellicott City,21043,POINT (1372757.0440068091 560080.955349165)
Schools_Elementary.fid-fa4324a_15051f1a12c_-6a0f,Clarksville,12041 CLARKSVILLE PK,Clarksville,21029,POINT (1332651.53419368 565111.5575863719)
Schools_Elementary.fid-fa4324a_15051f1a12c_-6a0e,Forest Ridge,9550 GORMAN RD,Laurel,20723,POINT (1357667.8712715767 534855.6561444799)
Schools_Elementary.fid-fa4324a_15051f1a12c_-6a0d,OLD CEDAR LANE,5451 BEAVERKILL RD,Columbia,21044,POINT (1344542.474265686 567683.1965332761)
Schools_Elementary.fid-fa4324a_15051f1a12c_-6a0a,Stevens Forest,6045 STEVENS FOREST RD,Columbia,21045,POINT (1356228.2568434644 560169.6325542307)
Schools_Elementary.fid-fa4324a_15051f1a12c_-6a06,Atholton,6700 SENECA DR,Columbia,21046,POINT (1351117.4646584424 553330.073866493)
Schools_Elementary.fid-fa4324a_15051f1a12c_-6a05,Swansfield,5610 CEDAR LN,Columbia,21044,POINT (1343852.6651160498 564506.3283451977)
Schools_Elementary.fid-fa4324a_15051f1a12c_-6a04,Jeffers Hill,6001 TAMAR DR,Columbia,21045,POINT (1361539.2312339812 560484.2464005857)
Schools_Elementary.fid-fa4324a_15051f1a12c_-6a03,Pointers Run,6600 SOUTH TROTTER RD,Clarksville,21029,POINT (1333256.470770811 555248.194005108)
Schools_Elementary.fid-fa4324a_15051f1a12c_-6a02,VETERANS,4355 MONTGOMERY RD,Ellicott City,21043,POINT (1365280.355697197 578142.4241063345)
Schools_Elementary.fid-fa4324a_15051f1a12c_-6a01,Gorman Crossing,9999 WINTER SUN RD,Laurel,20723,POINT (1352136.5208565898 538470.3497410673)
Schools_Elementary.fid-fa4324a_15051f1a12c_-6a00,Thunder Hill,9357 MELLENBROOK RD,Columbia,21045,POINT (1359190.8949519782 569034.719084409)
Schools_Elementary.fid-fa4324a_15051f1a12c_-69ff,Ilchester,4981 ILCHESTER RD,Ellicott City,21043,POINT (1376357.3970652837 569880.5181690286)
Schools_Elementary.fid-fa4324a_15051f1a12c_-69fd,Triadelphia Ridge,13400 TRIADELPHIA RD,Ellicott City,21042,POINT (1318111.1065392992 582626.6225750344)
Schools_Elementary.fid-fa4324a_15051f1a12c_-69fc,Hammond,8110 ALADDIN DR,Laurel,20723,POINT (1346842.520980574 539560.523301693)
Schools_Elementary.fid-fa4324a_15051f1a12c_-69fb,Laurel Woods,9250 NORTH LAUREL RD,Laurel,20723,POINT (1357184.0976082976 528472.946028054)
Schools_Elementary.fid-fa4324a_15051f1a12c_-69fa,Cradlerock,6700 CRADLEROCK WAY,Columbia,21045,POINT (1356889.3849168748 555564.856499765)
Schools_Elementary.fid-fa4324a_15051f1a12c_-69f9,Waverly,10220 WETHERBURN RD,Ellicott City,21042,POINT (1349501.6664763715 596687.3738627398)
Schools_Elementary.fid-fa4324a_15051f1a12c_-69f8,Centennial Lane,3825 CENTENNIAL LN,Ellicott City,21042,POINT (1351505.2445155778 582523.0195037696)
Schools_Elementary.fid-fa4324a_15051f1a12c_-69f7,Talbott Springs,9550 BASKET RING RD,Columbia,21045,POINT (1356699.1532888461 563223.5818441984)
Schools_Elementary.fid-fa4324a_15051f1a12c_-69f6,Clemens Crossing,10320 QUARTERSTAFF RD,Columbia,21044,POINT (1348355.3014194665 556356.8054004504)
Schools_Elementary.fid-fa4324a_15051f1a12c_-69f5,Phelps Luck,5370 OLDSTONE CT,Columbia,21045,POINT (1363830.4980275757 566602.9735501165)
Schools_Elementary.fid-fa4324a_15051f1a12c_-69f4,Running Brook,5215 WEST RUNNING BROOK RD,Columbia,21044,POINT (1352745.8473943677 568939.6032703946)
Schools_Elementary.fid-fa4324a_15051f1a12c_-69f3,Longfellow,5470 HESPERUS DR,Columbia,21044,POINT (1345908.922683018 568184.8227031856)
Schools_Elementary.fid-fa4324a_15051f1a12c_-69f2,Guilford,7335 OAKLAND MILLS RD,Columbia,21046,POINT (1360590.1217421398 547325.1930297363)
Schools_Elementary.fid-fa4324a_15051f1a12c_-69f1,Manor Woods,11575 FREDERICK RD,Ellicott City,21042,POINT (1336683.5667157578 591584.7762709251)
